created_at,date,place,tweet,language,hashtags,cashtags,username,nlikes,nreplies,nretweets,reply_to,clean_tweet,lemma_tweet,clean_tag,lemma_tag
1606136118000.0,2020-11-23 09:55:18,,Se puede devolver el 2020 por no uso? Sin COVID claro está,es,[],[],jorgalvarez,0,0,0,"{'user_id': None, 'username': None}","['puede', 'devolver', '2020', 'uso', 'covid', 'claro']","['puede', 'devolver', '2020', 'uso', 'covir', 'claro']","[0, 0, 6]","[0, 0, 6]"
1606076404000.0,2020-11-22 17:20:04,,"📌Equipos de la @SeremiSalud_I entregan recomendaciones y realizan exámenes de PCR al público de @agrosuriqq para prevenir a tiempo y evitar contagios de #coronavirus. 🤚🏼  Es muy importante usar 😷, lavarse las manos 🧼👋🏼 y mantener el distanciamiento físico 👥.   #Iquique  https://t.co/rF8xJO6NbK",es,"['coronavirus', 'iquique']",[],SeremiSalud_I,4,1,4,"{'user_id': None, 'username': None}","['equipos', '_i', 'entregan', 'recomendaciones', 'realizan', 'exámenes', 'pcr', 'público', 'prevenir', 'tiempo', 'evitar', 'contagios', 'coronavirus', 'importante', 'usar', 'lavarse', 'manos', 'mantener', 'distanciamiento', 'físico', 'iquique']","['equipo', '_', 'entregan', 'recomendación', 'realizan', 'examen', 'pcr', 'público', 'prevenir', 'tiempo', 'evitar', 'contagio', 'coronavirus', 'importante', 'usar', 'lavarse', 'mano', 'mantener', 'distanciamiento', 'físico', 'iquique']","[3, 1, 21]","[3, 3, 21]"
1606065956000.0,2020-11-22 14:25:56,,"El Viejo Pascuero no puede contagiarse ni esparcir el coronavirus gracias a una ""inmunidad innata"", según el secretario de Salud de EEUU 🎅",es,[],[],canessa,0,2,0,"{'user_id': None, 'username': None}","['viejo', 'pascuero', 'puede', 'contagiarse', 'esparcir', 'coronavirus', 'gracias', 'inmunidad', 'innata', 'según', 'secretario', 'salud', 'eeuu']","['viejo', 'pascuero', 'puede', 'contagiarse', 'esparcir', 'coronavirus', 'gracia', 'inmunidad', 'innata', 'según', 'secretario', 'salud', 'eeuu']","[0, 0, 13]","[1, 0, 13]"
1606021442000.0,2020-11-22 02:04:02,,Empatía cero: subsecretario de Redes Asistenciales dice que doctora murió de Covid porque “bajó la guardia”  https://t.co/5fRrONUw9z,es,[],[],elotrocuidadano,0,0,0,"{'user_id': None, 'username': None}","['empatía', 'cero', 'subsecretario', 'redes', 'asistenciales', 'dice', 'doctora', 'murió', 'covid', 'bajó', 'guardia']","['empatía', 'cero', 'subsecretario', 'red', 'asistenciales', 'decir', 'doctora', 'morir', 'covir', 'bajar', 'guardia']","[1, 0, 11]","[1, 0, 11]"
1605997758000.0,2020-11-21 19:29:18,,En Instagram se acabó el Covid,es,[],[],JoseManuelLemus,0,0,0,"{'user_id': None, 'username': None}","['instagram', 'acabó', 'covid']","['instagram', 'acabar', 'covir']","[0, 0, 3]","[0, 0, 3]"
1605904355000.0,2020-11-20 17:32:35,,👴🏽👵🏼 Hasta el club de adulto mayor Cristo Rey llegó el Seremi de Gobierno @VictorHugoSM18 para participar de la entrega de 25 canastas anti Covid 📦 y equipos celulares smart senior a adultos mayores #FondoFortalecimiento2020 💪  https://t.co/MxbjCpHWM4,es,['fondofortalecimiento2020'],[],VoceriaArica,5,0,2,"{'user_id': None, 'username': None}","['club', 'adulto', 'mayor', 'cristo', 'rey', 'llegó', 'seremi', 'gobierno', 'participar', 'entrega', '25', 'canastas', 'anti', 'covid', 'equipos', 'celulares', 'smart', 'senior', 'adultos', 'mayores', 'fondofortalecimiento2020']","['club', 'adulto', 'mayor', 'cristo', 'rey', 'llegar', 'seremi', 'gobierno', 'participar', 'entregar', '25', 'canasta', 'anti', 'covir', 'equipo', 'celulares', 'smart', 'senior', 'adulto', 'mayor', 'fondofortalecimiento2020']","[3, 1, 21]","[3, 1, 21]"
1605793233000.0,2020-11-19 10:40:33,,"🔴🖥 EN ESTE MOMENTO, Seremi Gob. @VictorHugoSM18 participa de charla ‘Impacto del Covid-19: la nueva cara de la pobreza en Chile’ 💬 organizada por el Banco Mundial  https://t.co/GbOh8bPwQW",es,[],[],VoceriaArica,0,0,1,"{'user_id': None, 'username': None}","['momento', 'seremi', 'gob', 'participa', 'charla', 'impacto', 'covid', '19', 'nueva', 'cara', 'pobreza', 'chile', 'organizada', 'banco', 'mundial']","['momento', 'seremi', 'gob', 'participar', 'charla', 'impacto', 'covir', '19', 'nueva', 'cara', 'pobreza', 'chile', 'organizado', 'banco', 'mundial']","[0, 1, 15]","[2, 1, 15]"
1605738941000.0,2020-11-18 19:35:41,,"📍Esta tarde, compartimos balance regional de #Covid_19 en nota de @soyarica donde el Seremi Gob. @VictorHugoSM18 entrega estadísticas y se refiere al proceso DFL-15 de @CorfoArica y lanzamiento de Guía de Fondos Concursables 2020-2021 Lee la nota acá ⬇️  https://t.co/S3XrGW7Is2",es,['covid_19'],[],VoceriaArica,2,0,1,"{'user_id': None, 'username': None}","['tarde', 'compartimos', 'balance', 'regional', 'covid_19', 'nota', 'seremi', 'gob', 'entrega', 'estadísticas', 'refiere', 'proceso', 'dfl', '15', 'lanzamiento', 'guía', 'fondos', 'concursables', '2020', '2021', 'lee', 'nota', 'acá']","['tarde', 'compartir', 'balance', 'regional', 'covid_19', 'nota', 'seremi', 'gob', 'entregar', 'estadístico', 'referir', 'proceso', 'dfl', '15', 'lanzamiento', 'guía', 'fondo', 'concursables', '2020', '2021', 'lee', 'nota', 'acá']","[3, 1, 23]","[3, 2, 23]"
1605716553000.0,2020-11-18 13:22:33,,"📍Este miércoles 18 de noviembre, Seremi Gob. @VictorHugoSM18 entregó el reporte regional de #Covid_19 en representación del intendente @rerpels donde informó el balance de la pandemia para #AricaParinacota  #CuidémonosEntreTodos  https://t.co/hwJySiuQoZ",es,"['covid_19', 'aricaparinacota', 'cuidémonosentretodos']",[],VoceriaArica,6,0,3,"{'user_id': None, 'username': None}","['miércoles', '18', 'noviembre', 'seremi', 'gob', 'entregó', 'reporte', 'regional', 'covid_19', 'representación', 'intendente', 'informó', 'balance', 'pandemia', 'aricaparinacota', 'cuidémonosentretodos']","['miércoles', '18', 'noviembre', 'seremi', 'gob', 'entregar', 'reporte', 'regional', 'covid_19', 'representación', 'intendente', 'informar', 'balance', 'pandemia', 'aricaparinacota', 'cuidémonosentretodos']","[0, 1, 16]","[0, 1, 16]"
1605640521000.0,2020-11-17 16:15:21,,"Ahora 🔴| Seremi @clacham en entrevista por @UnapRadio para informar a la comunidad estudiantil  sobre convocatorias @Mineduc vigentes, como la extensión del plazo a postular a  https://t.co/sTOWEgKpqc, además de difundir apoyos ministeriales para la región en contexto de Covid✔️  https://t.co/QmOd6zyBSg",es,[],[],seremieduc01,7,0,8,"{'user_id': None, 'username': None}","['ahora', 'seremi', 'entrevista', 'informar', 'comunidad', 'estudiantil', 'convocatorias', 'vigentes', 'extensión', 'plazo', 'postular', 'además', 'difundir', 'apoyos', 'ministeriales', 'región', 'contexto', 'covid']","['ahora', 'seremi', 'entrevista', 'informar', 'comunidad', 'estudiantil', 'convocatoria', 'vigente', 'extensión', 'plazo', 'postular', 'además', 'difundir', 'apoyo', 'ministerial', 'región', 'contexto', 'covir']","[1, 0, 18]","[1, 0, 18]"
